Chunk 	 RSQ
0	-3109309.6263331277
1	-2312487.6234498387
2	-3340383.6230294467
3	-635003.9211667941

overall_gold_y	overall_pred_y	overall_adj
-1.8908504	[2930.7507]	poor
0.45198512	[2942.4236]	rich
-2.9957323	[1050.3317]	small
-1.0033021	[904.54803]	bullish
-0.3001046	[2565.301]	liberal
-2.8903718	[1152.5667]	small
0.23233198	[3690.8684]	broad
0.71256524	[2545.5652]	considerable
-1.2039728	[156.26463]	minor
-1.6677068	[890.0235]	low
-3.1570003	[652.1839]	poor
0.6696167	[2566.9167]	rare
-0.04793946	[744.1765]	sizable
0.6802438	[2639.5366]	steep
-1.0678406	[3328.742]	weak
-0.38946477	[236.23482]	favorable
-0.6061358	[2935.9631]	normal
-0.34174928	[2681.6492]	clear
-2.1832383	[2006.2566]	fine
-1.7500199	[2356.874]	modest
0.2876821	[1853.6366]	bullish
-2.944439	[3473.6382]	important
-1.0498221	[3381.9595]	normal
-2.5649493	[2827.012]	disappointing
-2.0794415	[2961.8464]	positive
0.6931472	[97.02405]	dramatic
-1.3523928	[3499.4922]	traditional
0.64003736	[806.498]	favorable
-0.4054651	[3736.6301]	critical
-1.1314021	[2219.3354]	weak
-1.5926307	[277.23807]	slight
-0.8174449	[303.1333]	familiar
0.6649763	[2780.6714]	high
-0.57145023	[2816.1758]	ordinary
0.62860864	[1077.6682]	severe
0.6931472	[3226.5435]	extraordinary
-0.9575337	[3515.508]	slight
0.43531808	[1933.7715]	positive
-0.62860864	[1587.4236]	firm
0.33647224	[664.50726]	extensive
-0.47000363	[2146.686]	relative
-0.09531018	[3632.0452]	tight
-1.4966425	[2915.583]	small
-3.1675825	[3091.153]	tiny
-0.90511745	[3380.264]	tight
0.116259806	[1496.3025]	fine
0.9388198	[1443.3962]	sizable
0.99967235	[3346.3462]	surprising
0.5877867	[1119.4788]	striking
-1.9095426	[623.8337]	slight
-1.1700712	[2427.5793]	bearish
-1.3987169	[1865.4258]	usual
-1.89712	[593.13763]	low
0.35667494	[108.17626]	extraordinary
0.64551914	[2820.8838]	generous
-0.35364005	[1212.1185]	wide
0.42933258	[1315.3555]	high
-3.5553482	[2087.9631]	poor
0.21130909	[142.13922]	strong
-0.93430924	[1951.0465]	narrow
0.7985077	[3147.2852]	comfortable
0.5465437	[2159.703]	competitive
-1.3217559	[1075.8356]	regular
0.51987547	[892.81415]	high
-1.3862944	[961.9873]	comfortable
-0.037740327	[2712.6597]	large
0.8188354	[561.6926]	rare
0.33647224	[2273.535]	sharp
-1.7635885	[1338.5083]	little
2.220446e-16	[774.3613]	good
0.44183275	[550.42114]	intense
0.2876821	[3434.5256]	favorable
0.06453852	[3622.3176]	sizable
0.6931472	[3030.3079]	broad
-1.0275164	[1931.4072]	conventional
-1.974081	[1996.0728]	favorable
0.5389965	[2514.9688]	serious
1.0809127	[1926.7003]	excessive
0.6613985	[1929.4126]	huge
0.06805346	[2396.7312]	prominent
-2.2823825	[309.9856]	small
-0.06899287	[1049.9457]	good
-2.9957323	[2292.3435]	normal
0.4054651	[2441.4204]	vital
0.298493	[2215.5764]	ordinary
0.9614112	[68.26124]	excessive
-2.146581	[837.29193]	conservative
0.18786174	[295.5469]	impressive
-0.6225296	[734.0218]	reasonable
0.5368011	[2762.7083]	sharp
-0.22314355	[3363.5525]	solid
0.18658596	[3265.7715]	liberal
0.41284522	[1670.0656]	surprising
0.53280455	[2016.4064]	conventional
0.56346935	[907.87744]	major
0.50279343	[419.08356]	sound
-0.6061358	[310.41315]	conventional
0.6359888	[1031.1025]	severe
-0.13353139	[371.28204]	liberal
0.63430667	[3548.5508]	impressive
0.7118393	[2606.4941]	significant
1.0895624	[465.95642]	rare
0.6931472	[758.37524]	strong
-1.8718022	[1669.7869]	slight
0.30110508	[2252.3096]	obvious
-0.12783337	[501.95767]	relative
0.6840147	[3650.9048]	radical
-0.43936667	[3373.8625]	large
2.220446e-16	[581.05145]	firm
0.15762894	[709.75146]	likely
-0.91629076	[399.24152]	reasonable
0.70889556	[1806.382]	obvious
0.54472715	[2626.3726]	striking
-1.4307461	[1165.6353]	slight
0.36772478	[3310.996]	significant
0.18232156	[3225.9048]	bearish
-1.704748	[2508.2463]	weak
0.36044142	[1265.6786]	moderate
0.5810299	[785.51526]	critical
2.220446e-16	[2976.2212]	normal
-1.011601	[2948.376]	crucial
0.9860395	[849.16974]	severe
-1.4069136	[2862.6602]	usual
0.4248832	[1866.1025]	great
-3.314186	[881.11816]	thin
-1.734601	[2485.723]	tiny
0.44285265	[377.09412]	typical
-1.609438	[654.6189]	small
0.96402216	[841.4489]	broad
-0.11778303	[3178.554]	sound
-0.44183275	[1702.6561]	reasonable
-0.901902	[3558.4905]	reasonable
0.39589566	[3248.208]	considerable
-3.3322046	[937.30066]	low
1.1727203	[2282.0032]	rare
0.60391605	[1238.7246]	powerful
-0.6167742	[3452.9956]	grand
-0.91629076	[2905.0884]	vital
-1.7749523	[1039.7196]	slight
0.44991687	[2716.1396]	high
0.18232156	[3652.881]	wide
-5.4595857	[2460.3655]	disappointing
0.36593428	[1170.792]	great
0.23361485	[3209.4966]	great
0.6931472	[1434.908]	considerable
0.26136476	[1820.7843]	powerful
0.22314355	[1728.0061]	large
-1.5040774	[2624.1448]	routine
-0.5596158	[3546.3845]	promising
-1.8325815	[367.66534]	minor
-1.704748	[92.892494]	tight
0.5596158	[1672.483]	hefty
-3.0796137	[1996.7963]	small
-0.05406722	[2742.1492]	clear
0.6931472	[111.19859]	firm
0.358778	[2295.9783]	major
-1.658228	[520.3146]	favorable
0.7449722	[3422.234]	broad
0.4924765	[3532.2446]	crucial
0.4567584	[1699.2671]	great
-3.218876	[2758.1843]	weak
-0.45953232	[1586.6627]	usual
0.36865112	[3683.3728]	bullish
-1.81529	[1513.2288]	conservative
-1.609438	[123.11288]	familiar
-1.8245493	[3315.7063]	little
-0.10074157	[2848.1638]	good
0.36044142	[2407.6343]	important
-1.1526796	[3013.7585]	typical
-0.8724881	[2805.0354]	bullish
-0.896088	[2355.6997]	typical
-1.609438	[3062.6765]	regular
-0.986495	[502.11456]	regular
-4.3820267	[2777.938]	poor
0.44583756	[2853.5496]	rich
-0.82927936	[3216.472]	traditional
0.9617291	[1825.1022]	severe
0.4017954	[2638.1123]	sharp
0.716404	[2178.9429]	unusual
-3.881564	[338.5108]	tiny
-1.488077	[1245.5217]	light
0.30538166	[742.1708]	sound
0.38484582	[1315.6968]	broad
-1.2527629	[2219.311]	familiar
-2.3513753	[1004.64966]	little
-0.86499745	[928.8832]	usual
-2.125251	[1537.9568]	narrow
0.6931472	[1016.64465]	dramatic
0.72300017	[1423.4116]	remarkable
0.79112756	[690.09265]	critical
-1.5314764	[1136.3092]	typical
-3.1570003	[1745.8308]	narrow
-2.3025851	[1734.9877]	tiny
-1.609438	[713.3635]	weak
0.597837	[3421.7107]	striking
0.18687737	[3216.3845]	stable
-0.19885086	[1992.293]	regular
-3.871201	[2936.5583]	likely
-1.1631508	[2198.2048]	obvious
0.74510694	[3052.666]	striking
-1.0986123	[3007.9043]	routine
-0.06744128	[274.38608]	dramatic
0.5877867	[3623.2407]	positive
0.2876821	[2833.3416]	positive
0.20972054	[1913.9685]	firm
-0.8329091	[2081.4128]	reasonable
0.028987536	[780.2371]	vital
0.29578865	[2677.4136]	bearish
0.2876821	[2230.6052]	adequate
-1.3034067	[1898.5303]	stable
-2.6508918	[2481.354]	inadequate
-1.734601	[3571.5322]	low
0.4054651	[624.51874]	significant
0.26747936	[2382.3003]	nice
-0.9578397	[879.64685]	stable
-2.9704144	[687.1645]	slight
-0.22314355	[1645.8616]	likely
0.5389965	[3586.1968]	adequate
0.26933295	[807.3675]	steep
-0.057158414	[2419.82]	rich
-0.40891933	[2239.98]	deep
-3.1780539	[2657.9744]	low
0.45319653	[2345.4404]	serious
-1.4384801	[2063.9578]	traditional
0.31177962	[2227.4175]	promising
-3.068053	[1126.4437]	low
-0.19237189	[475.81058]	prominent
-0.07963127	[2281.7004]	comfortable
-1.609438	[504.69003]	small
-0.6567795	[3033.0388]	sound
1.189584	[691.8598]	steep
0.35667494	[182.66695]	deep
1.0678406	[2299.0342]	outstanding
-1.9810015	[1145.852]	familiar
-3.1780539	[1006.529]	poor
0.38776553	[689.4571]	dramatic
-0.49140754	[2477.2822]	great
-0.57454145	[1552.1486]	familiar
0.33950713	[2699.8523]	powerful
0.2876821	[1328.7477]	large
-4.665795	[1788.4684]	narrow
-0.18232156	[1365.0371]	significant
-2.1649637	[2799.0442]	sensitive
-3.6635616	[1413.5944]	inadequate
0.5500463	[2535.7834]	vital
0.38843197	[662.24335]	broad
0.4268792	[3555.7725]	appropriate
0.39688137	[3564.5867]	obvious
0.967584	[2034.9594]	crucial
-1.3862944	[374.03394]	likely
-1.3682759	[601.0102]	minor
0.51082563	[1330.587]	liberal
-1.5448993	[290.1325]	typical
0.4054651	[3329.8977]	routine
0.70911103	[3289.816]	excessive
-2.5257287	[1199.6252]	fair
0.20173964	[1792.111]	sizable
-0.41820413	[3377.349]	conventional
-1.8718022	[3375.8801]	modest
0.52999556	[2960.6514]	considerable
0.25131443	[233.77568]	powerful
0.02105341	[2180.5242]	healthy
0.2876821	[3643.2983]	intense
0.27820334	[2308.098]	strong
0.51082563	[1119.3722]	bullish
0.5596158	[2416.3396]	crucial
-0.82198006	[995.3676]	adequate
0.057158414	[1532.5652]	bullish
-1.0986123	[1511.6548]	small
0.6931472	[1060.1694]	promising
0.19490033	[1233.462]	normal
-0.23638877	[1169.4531]	firm
-0.6931472	[2884.1472]	conservative
0.38946477	[1850.0952]	big
0.70444673	[2458.1658]	substantial
0.31845373	[1684.5394]	surprising
0.4054651	[1760.0256]	radical
-1.609438	[2163.8882]	little
0.61180156	[1693.2931]	dramatic
0.5070449	[543.82294]	severe
0.046520017	[3195.666]	normal
-0.038714513	[1049.3801]	deep
-0.21905357	[2213.2256]	stable
-3.7816613	[1443.452]	ordinary
-0.35350537	[981.2914]	important
-0.6466272	[436.74893]	relative
-0.080042705	[2446.2197]	clear
-0.046520017	[1499.7106]	adequate
0.32850406	[1506.1534]	sharp
0.6931472	[2868.467]	high
-0.5368011	[1082.9507]	tight
0.0822381	[2783.3647]	healthy
0.8927602	[710.2201]	major
-1.1986958	[262.99008]	likely
-1.0986123	[1301.0867]	modest
0.47000363	[671.4458]	routine
0.13883644	[511.99988]	rich
0.2876821	[2216.368]	legitimate
-1.7404661	[1929.2908]	tiny
0.22314355	[851.2496]	serious
-1.7917595	[2658.0002]	thin
-0.1590647	[2286.72]	favorable
0.7017309	[2574.9016]	aggressive
0.36101335	[2076.3115]	crucial
0.43531808	[2609.2107]	reasonable
0.6931472	[2369.139]	liberal
0.072949	[118.490524]	fundamental
0.6931472	[1244.6699]	vital
0.6829948	[594.5477]	substantial
2.220446e-16	[3357.2295]	bullish
0.60720474	[2285.7922]	vital
-1.1700712	[3458.814]	likely
-0.32850406	[2662.5222]	surprising
-0.3263278	[3193.784]	positive
-0.86499745	[2695.396]	acceptable
0.018770102	[1982.9469]	vital
-0.6061358	[3665.1968]	tight
-0.38299224	[1179.2874]	prominent
0.7731899	[2756.2412]	high
-0.19415602	[1957.1517]	surprising
-1.1451323	[372.52002]	usual
-0.6649763	[930.55493]	acceptable
0.26358452	[1228.1771]	huge
-0.5596158	[3475.181]	likely
-0.43825492	[1557.2869]	fair
0.6216882	[3370.2048]	remarkable
1.8727754	[2342.2795]	outstanding
0.4324209	[198.33202]	obvious
0.6931472	[3371.159]	surprising
-0.13353139	[1604.8204]	clear
0.1121173	[550.0935]	extensive
0.6601409	[1371.4025]	great
-0.18232156	[1206.6066]	high
-0.74193734	[3313.6187]	adequate
0.85745025	[3004.4985]	sharp
-2.125251	[2237.9321]	tight
0.65058756	[3475.5679]	sharp
0.43466425	[1845.0576]	powerful
0.2894662	[543.29486]	firm
-3.8066626	[180.2298]	weak
-1.178655	[2363.2244]	solid
0.3448405	[2294.0889]	important
1.3966571	[1737.0594]	outstanding
0.92676204	[2343.8901]	critical
-3.912023	[286.67346]	inadequate
-1.1939225	[3245.3945]	small
0.45473614	[3425.9607]	bearish
-1.0216513	[1306.8716]	normal
-0.8183103	[3594.3125]	good
-1.3862944	[3607.1292]	tight
0.29423946	[493.6723]	serious
-1.609438	[1733.9314]	poor
-1.178655	[3434.9265]	bearish
0.44222406	[2148.2422]	grand
-0.5773154	[673.24994]	tight
1.5114576	[3444.338]	outstanding
-1.0986123	[2544.2983]	poor
-4.4998097	[1734.5963]	disappointing
-1.609438	[2182.3909]	sensitive
-1.3862944	[2221.6218]	conventional
0.37865385	[3456.686]	huge
0.13353139	[603.32654]	large
-0.18232156	[360.70862]	acceptable
-0.019802628	[1915.793]	firm
-0.20972054	[3050.5588]	stable
-2.5776885	[1859.7559]	tiny
0.33451337	[1459.4235]	competitive
0.39416555	[2393.018]	high
0.105360515	[181.82368]	strong
0.6931472	[1460.2068]	extraordinary
0.16862272	[2840.574]	competitive
0.039220713	[2091.4146]	significant
0.020202707	[1507.0568]	solid
0.33647224	[1705.4493]	good
1.0986123	[2283.3606]	considerable
0.5596158	[1563.0708]	high
1.2237754	[3078.3037]	extensive
-0.3483067	[778.5261]	fair
0.6931472	[3154.2866]	remarkable
0.2876821	[2745.0996]	vital
0.9777758	[3328.7756]	great
-0.25131443	[727.21893]	fine
-0.21256144	[3230.3098]	liberal
-0.08561375	[2923.6736]	fundamental
-0.6701577	[2533.6133]	reasonable
-1.199417	[1238.4744]	traditional
-3.8501475	[2784.871]	weak
0.6359888	[718.03015]	generous
0.7855205	[1007.4801]	generous
-1.609438	[2306.3755]	low
0.052643735	[2679.711]	appropriate
-0.4054651	[293.63153]	conservative
0.062520355	[628.01965]	clear
0.6800751	[1205.6848]	high
-0.8823892	[2718.173]	likely
0.35437346	[1289.5653]	considerable
0.51082563	[3575.0273]	ordinary
0.29511705	[2049.9148]	legitimate
0.38299224	[2477.3916]	surprising
-0.6931472	[926.7507]	important
-0.5877867	[706.81976]	crucial
-0.9490805	[1257.9457]	small
0.40726528	[3400.6462]	hefty
-0.79694396	[672.76086]	promising
-0.14458123	[303.28748]	solid
-0.4054651	[1850.5991]	relative
1.5040774	[1962.4703]	remarkable
-0.45953232	[2656.9326]	fundamental
2.220446e-16	[3092.9373]	fair
0.6486954	[2303.957]	steep
-0.64802676	[500.91492]	little
-1.3862944	[2088.5203]	weak
-2.9957323	[891.39154]	disappointing
-0.65058756	[2089.5442]	modest
0.23638877	[2870.3606]	deep
-1.6739764	[616.45416]	fine
0.6931472	[2419.1077]	powerful
-0.3061669	[833.16547]	likely
0.28410426	[1224.6536]	impressive
0.18232156	[750.7316]	huge
0.6061358	[1328.0614]	solid
-4.3438053	[2340.2424]	tiny
-1.4136933	[1464.1685]	thin
0.078780875	[452.4995]	surprising
-0.74193734	[2956.1726]	moderate
0.087011375	[3064.6213]	good
2.220446e-16	[1987.8138]	modest
0.4054651	[1187.042]	extensive
-1.1293839	[2219.015]	fundamental
-1.8191584	[2767.9172]	slight
-0.16833532	[1155.2583]	modest
-0.65999496	[893.82336]	acceptable
1.3862944	[2531.5488]	major
0.46224162	[2183.9023]	huge
-1.1977032	[1409.395]	low
0.2876821	[1743.1733]	considerable
-0.26236427	[512.42914]	important
0.7765288	[344.37076]	extraordinary
-1.8021222	[3211.5474]	weak
0.23967285	[3055.8042]	remarkable
-6.163315	[2815.339]	low
0.5923425	[3651.0815]	extraordinary
-1.0379877	[2260.126]	good
0.9444616	[750.2181]	major
-0.3939043	[1542.706]	promising
0.20294084	[1521.8364]	usual
0.44183275	[3727.4746]	rare
0.63465095	[380.89603]	valuable
-0.06575138	[2217.4287]	unexpected
0.6931472	[3661.247]	sound
-0.16332506	[3080.0808]	bullish
0.5849336	[1792.8744]	crucial
0.7456757	[2525.6545]	outstanding
-1.9396796	[1373.2004]	fair
-2.5455313	[2582.4014]	light
-0.6931472	[2594.481]	promising
-4.7229533	[671.82446]	disappointing
0.24686007	[3306.8232]	sizable
-0.896088	[3460.6382]	likely
0.53062826	[380.99533]	obvious
-0.901902	[2678.2576]	large
0.21936283	[2205.0422]	crucial
-0.099090904	[949.06195]	fine
-0.6931472	[200.57355]	regular
-1.5755364	[2155.0056]	conventional
0.6931472	[1784.23]	broad
-1.0678406	[3140.8362]	unexpected
-0.48550782	[2872.2258]	conventional
0.6348783	[1855.1725]	large
-0.11778303	[421.54523]	big
0.31845373	[2235.0454]	legitimate
0.7576857	[649.24634]	radical
-0.58451337	[1634.9949]	regular
0.23457225	[2291.479]	promising
0.62860864	[912.70844]	major
-0.4054651	[2156.8848]	good
-2.4987	[2774.4595]	little
-0.36101335	[1949.5276]	routine
0.427444	[1566.321]	favorable
0.39662108	[2790.8489]	intense
-0.6742787	[881.4331]	valuable
2.0296092	[357.01624]	rare
0.78353125	[939.9477]	considerable
-1.011601	[66.07016]	low
0.099529594	[3763.7678]	positive
0.5877867	[916.0059]	large
-0.4054651	[2894.9167]	wide
-2.138282	[1541.5275]	tight
0.12337902	[819.4068]	bearish
-0.06453852	[2067.642]	sharp
0.33074155	[2040.1002]	healthy
0.20763937	[3066.4478]	obvious
-3.5695326	[912.1732]	crucial
0.54361546	[3447.4368]	important
0.29885536	[978.6168]	wide
0.41804388	[1815.424]	unexpected
0.46747518	[1176.7548]	valuable
-2.3513753	[2469.5344]	thin
2.220446e-16	[637.7778]	good
-0.8994836	[3039.9915]	promising
0.6781093	[2484.572]	sizable
-1.9459101	[691.488]	light
-0.51082563	[1019.7839]	regular
-0.73759896	[815.82056]	normal
0.051293295	[1496.03]	substantial
1.13498	[1246.6031]	valuable
-0.78845733	[1558.565]	normal
-2.6026897	[672.00055]	routine
0.45198512	[2019.5457]	grand
1.1631508	[1817.0681]	radical
0.26236427	[3075.752]	nice
-2.442347	[2613.3994]	usual
1.4403616	[427.08975]	radical
0.6931472	[2318.5613]	vital
0.029852964	[1061.7874]	acceptable
0.658661	[2248.0547]	impressive
-0.22314355	[2293.3137]	regular
-0.35667494	[863.6288]	fair
0.6931472	[2842.935]	substantial
-0.45953232	[1991.839]	generous
-4.2835865	[198.73502]	small
-1.0062389	[1531.5114]	vital
0.79963064	[908.63574]	radical
2.220446e-16	[1698.6589]	prominent
0.6795415	[2370.1772]	significant
-0.15415068	[1508.9017]	appropriate
-1.199417	[2667.562]	nice
-2.6390574	[952.9069]	tiny
1.4410193	[1374.5609]	rare
0.41284522	[3027.5364]	sharp
-0.27625337	[2791.8599]	legitimate
0.35139787	[3346.425]	rich
0.5596158	[1264.3097]	favorable
-0.47000363	[376.99265]	routine
-1.6979913	[211.06813]	narrow
-2.1972246	[3550.5083]	positive
-1.9810015	[283.75806]	routine
-0.1797931	[2798.9053]	good
-0.5596158	[855.6562]	familiar
0.18232156	[3317.9573]	grand
0.8026169	[1753.7334]	excessive
-0.6061358	[2463.9944]	clear
-0.032789823	[1455.4308]	clear
-1.5040774	[653.6525]	fine
0.04762805	[175.85449]	extensive
0.45953232	[1808.2046]	substantial
0.74559367	[283.6067]	rare
0.5332985	[3209.7183]	big
-0.71562004	[1939.008]	small
-0.1590647	[2511.5588]	rich
-1.9459101	[2417.694]	important
0.6931472	[2691.6602]	deep
-0.64185387	[2992.5996]	positive
-0.79492986	[1956.4939]	comfortable
-1.3156768	[1582.7925]	nice
0.48410824	[777.78076]	wide
0.2876821	[3637.107]	good
0.4054651	[2856.3047]	surprising
-1.7676619	[2499.8564]	slight
-0.8232003	[3582.9365]	small
-3.1570003	[1149.174]	little
-1.6441234	[3150.815]	adequate
0.6931472	[1185.5308]	high
0.69158345	[1538.5126]	obvious
-1.9459101	[772.78125]	little
-0.45198512	[2272.6858]	bullish
-3.8066626	[1445.4861]	little
-0.14660348	[2280.536]	nice
0.5923425	[336.02768]	radical
-0.54361546	[3262.6135]	moderate
-1.7917595	[2768.4822]	sensitive
0.6931472	[1879.0117]	competitive
0.3693601	[2033.2153]	sound
-0.4054651	[3159.3623]	solid
0.4924765	[1957.1158]	high
0.6279067	[3526.237]	striking
-0.48276767	[2249.5369]	severe
-0.13102826	[2960.687]	prominent
-1.2527629	[1743.4353]	small
-0.74193734	[1140.9896]	sensitive
-0.6508128	[3379.462]	legitimate
0.8724881	[3655.834]	wide
0.83455884	[117.4072]	unusual
0.6690496	[1843.9191]	deep
-0.02409755	[840.77783]	favorable
-0.6931472	[2490.1013]	ordinary
-0.05182507	[3578.2075]	obvious
0.5753642	[2380.9438]	surprising
-0.504556	[2636.0798]	comfortable
-3.0445225	[3398.359]	tiny
0.31177962	[487.286]	remarkable
0.24116206	[3646.765]	wide
0.2602831	[733.72504]	large
-2.0727227	[3671.2576]	inadequate
0.09352606	[1086.9686]	appropriate
-0.24231347	[3303.6187]	usual
-1.5950491	[644.99774]	bearish
2.220446e-16	[1307.6904]	outstanding
0.6931472	[3380.8047]	crucial
-0.7672551	[539.5716]	adequate
